GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WFS Servlet,de.turnertech.ows.parameter,WfsRequestValue,71,0,4,0,13,0,5,0,3,0
WFS Servlet,de.turnertech.ows.parameter,WfsRequestParameter,115,0,8,0,23,0,8,0,4,0
WFS Servlet,de.turnertech.ows.parameter,OwsServiceValue,28,18,4,0,5,5,4,2,2,2
WFS Servlet,de.turnertech.ows.parameter,ResultType,60,0,4,0,12,0,6,0,4,0
WFS Servlet,de.turnertech.ows.parameter,WfsVersionValue,28,25,4,0,5,6,4,2,2,2
WFS Servlet,de.turnertech.ows.srs,SpatialReferenceSystemFormat,21,0,0,0,4,0,1,0,1,0
WFS Servlet,de.turnertech.ows.srs,SpatialReferenceSystem,4,115,4,6,1,22,4,10,0,9
WFS Servlet,de.turnertech.ows.srs,SpatialReferenceSystemConverter,19,157,3,7,5,28,3,10,0,6
WFS Servlet,de.turnertech.ows.srs,SpatialReferenceSystemRepresentation,143,0,24,0,38,0,20,0,7,0
WFS Servlet,de.turnertech.ows.filter,Function,8,0,0,0,2,0,2,0,2,0
WFS Servlet,de.turnertech.ows.filter,LogicalOperatorDecoder,13,14,5,1,2,4,3,1,0,1
WFS Servlet,de.turnertech.ows.filter,SpatialDescription,15,9,0,0,6,4,3,1,3,1
WFS Servlet,de.turnertech.ows.filter,OperatorEncoder,0,25,0,6,0,7,0,4,0,1
WFS Servlet,de.turnertech.ows.filter,NumberComparator,6,27,2,6,1,5,2,4,0,2
WFS Servlet,de.turnertech.ows.filter,TemporalOperatorName,81,0,0,0,14,0,1,0,1,0
WFS Servlet,de.turnertech.ows.filter,BinarySpatialOperatorDecoder,34,95,15,15,4,24,12,5,0,2
WFS Servlet,de.turnertech.ows.filter,ComparisonOperatorDecoder,0,86,1,1,0,6,1,2,0,2
WFS Servlet,de.turnertech.ows.filter,Conformance,108,0,0,0,18,0,4,0,4,0
WFS Servlet,de.turnertech.ows.filter,BinaryLogicOperator,14,27,0,0,1,8,1,4,1,4
WFS Servlet,de.turnertech.ows.filter,BinaryComparisonOperatorDecoder,16,64,4,8,2,14,4,3,0,1
WFS Servlet,de.turnertech.ows.filter,NilOperator,15,0,0,0,5,0,4,0,4,0
WFS Servlet,de.turnertech.ows.filter,IdOperatorEncoder,0,14,0,0,0,3,0,1,0,1
WFS Servlet,de.turnertech.ows.filter,LiteralDecoder,3,28,1,3,2,12,1,2,0,1
WFS Servlet,de.turnertech.ows.filter,Filter,5,9,0,0,1,4,1,2,1,2
WFS Servlet,de.turnertech.ows.filter,ExpressionDecoder,9,14,3,1,2,4,2,1,0,1
WFS Servlet,de.turnertech.ows.filter,OgcFilter,12,0,0,0,4,0,2,0,2,0
WFS Servlet,de.turnertech.ows.filter,ResourceId,3,9,0,0,1,4,1,2,1,2
WFS Servlet,de.turnertech.ows.filter,FilterEncoder,0,33,0,0,0,7,0,1,0,1
WFS Servlet,de.turnertech.ows.filter,ValueReferenceDecoder,0,11,0,0,0,2,0,2,0,2
WFS Servlet,de.turnertech.ows.filter,ExtensionOperator,3,0,0,0,1,0,1,0,1,0
WFS Servlet,de.turnertech.ows.filter,IdOperator,0,16,0,0,0,5,0,3,0,3
WFS Servlet,de.turnertech.ows.filter,BinaryComparisonOperator,11,71,0,10,4,19,3,11,3,6
WFS Servlet,de.turnertech.ows.filter,FilterDecoder,3,42,0,8,1,12,1,5,1,1
WFS Servlet,de.turnertech.ows.filter,NullOperator,18,0,2,0,5,0,4,0,3,0
WFS Servlet,de.turnertech.ows.filter,Literal,0,13,0,0,0,5,0,3,0,3
WFS Servlet,de.turnertech.ows.filter,ValueReferenceEncoder,6,15,1,1,1,5,1,1,0,1
WFS Servlet,de.turnertech.ows.filter,ValueReference,0,21,0,0,0,6,0,4,0,4
WFS Servlet,de.turnertech.ows.filter,IdOperatorDecoder,3,16,0,0,1,3,1,1,1,1
WFS Servlet,de.turnertech.ows.filter,SpatialOperatorDecoder,0,14,1,1,0,5,1,2,0,2
WFS Servlet,de.turnertech.ows.filter,BinaryLogicOperatorEncoder,0,19,0,0,0,5,0,1,0,1
WFS Servlet,de.turnertech.ows.filter,NonIdOperatorDecoder,3,92,1,5,1,10,2,4,1,2
WFS Servlet,de.turnertech.ows.filter,LiteralEncoder,6,15,1,1,1,5,1,1,0,1
WFS Servlet,de.turnertech.ows.filter,OgcFilterDecoder,37,0,4,0,7,0,4,0,2,0
WFS Servlet,de.turnertech.ows.filter,ExpressionEncoder,0,17,0,4,0,5,0,3,0,1
WFS Servlet,de.turnertech.ows.filter,BinaryLogicType,31,49,13,2,5,10,9,4,1,4
WFS Servlet,de.turnertech.ows.filter,LikeOperator,36,0,0,0,13,0,9,0,9,0
WFS Servlet,de.turnertech.ows.filter,BinaryComparisonOperatorEncoder,0,19,0,0,0,5,0,1,0,1
WFS Servlet,de.turnertech.ows.filter,BinarySpatialOperator,5,12,0,0,1,5,1,1,1,1
WFS Servlet,de.turnertech.ows.filter,MatchAction,0,21,0,0,0,4,0,1,0,1
WFS Servlet,de.turnertech.ows.filter,BinaryComparisonName,99,187,32,30,11,31,24,18,1,7
WFS Servlet,de.turnertech.ows.filter,TemporalOperator,8,0,0,0,2,0,2,0,2,0
WFS Servlet,de.turnertech.ows.filter,BetweenComparisonOperator,46,0,4,0,11,0,7,0,5,0
WFS Servlet,de.turnertech.ows.filter,OperatorDecoder,0,18,0,2,0,5,0,2,0,1
WFS Servlet,de.turnertech.ows.filter,UnaryLogicType,9,0,0,0,2,0,1,0,1,0
WFS Servlet,de.turnertech.ows.filter,UnaryLogicOperator,17,0,0,0,7,0,5,0,5,0
WFS Servlet,de.turnertech.ows.filter,BinaryLogicOperatorDecoder,16,64,4,8,2,14,4,3,0,1
WFS Servlet,de.turnertech.ows.filter,SpatialOperatorName,29,106,6,2,5,18,5,5,1,5
WFS Servlet,de.turnertech.ows.filter,DistanceOperatorName,53,0,4,0,11,0,6,0,4,0
WFS Servlet,de.turnertech.ows,Logging,4,0,0,0,1,0,1,0,1,0
WFS Servlet,de.turnertech.ows.gml,Circle,79,0,0,0,26,0,9,0,9,0
WFS Servlet,de.turnertech.ows.gml,LinearRingDecoder,69,0,12,0,19,0,8,0,2,0
WFS Servlet,de.turnertech.ows.gml,LineStringDecoder,69,0,12,0,19,0,8,0,2,0
WFS Servlet,de.turnertech.ows.gml,GmlElement,66,0,6,0,19,0,7,0,4,0
WFS Servlet,de.turnertech.ows.gml,EnvelopeDecoder,0,79,5,13,0,21,5,6,0,2
WFS Servlet,de.turnertech.ows.gml,FeatureTypeFactory,5,0,0,0,2,0,2,0,2,0
WFS Servlet,de.turnertech.ows.gml,LinearRing,72,0,0,0,24,0,13,0,13,0
WFS Servlet,de.turnertech.ows.gml,DirectPosition,51,101,2,0,17,21,5,8,4,8
WFS Servlet,de.turnertech.ows.gml,Distance,198,0,16,0,37,0,25,0,17,0
WFS Servlet,de.turnertech.ows.gml,GeometryDecoder,68,0,12,0,17,0,8,0,2,0
WFS Servlet,de.turnertech.ows.gml,DirectPositionList,141,0,14,0,40,0,17,0,10,0
WFS Servlet,de.turnertech.ows.gml,PolygonDecoder,76,0,12,0,20,0,8,0,2,0
WFS Servlet,de.turnertech.ows.gml,FeatureType,72,46,5,3,21,10,15,5,12,4
WFS Servlet,de.turnertech.ows.gml,Feature,166,35,25,1,38,9,18,4,5,4
WFS Servlet,de.turnertech.ows.gml,TimeInstant,72,0,0,0,26,0,7,0,7,0
WFS Servlet,de.turnertech.ows.gml,Point,88,0,0,0,24,0,11,0,11,0
WFS Servlet,de.turnertech.ows.gml,FeatureDecoder,187,0,22,0,39,0,13,0,2,0
WFS Servlet,de.turnertech.ows.gml,TimePeriod,60,0,0,0,23,0,7,0,7,0
WFS Servlet,de.turnertech.ows.gml,GmlDecoderContext,11,22,0,0,5,7,3,3,3,3
WFS Servlet,de.turnertech.ows.gml,PointDecoder,69,0,12,0,19,0,8,0,2,0
WFS Servlet,de.turnertech.ows.gml,FeatureListDecoder,3,0,0,0,1,0,1,0,1,0
WFS Servlet,de.turnertech.ows.gml,FeaturePropertyType,6,146,0,0,2,16,2,2,2,2
WFS Servlet,de.turnertech.ows.gml,FeatureProperty,27,21,0,0,12,8,7,3,7,3
WFS Servlet,de.turnertech.ows.gml,DirectPositionDecoder,123,54,24,4,25,11,17,1,3,1
WFS Servlet,de.turnertech.ows.gml,UuidFeatureIdRetriever,22,3,4,0,7,1,3,1,1,1
WFS Servlet,de.turnertech.ows.gml,Polygon,56,0,0,0,20,0,7,0,7,0
WFS Servlet,de.turnertech.ows.gml,DirectPositionListDecoder,96,0,8,0,17,0,6,0,2,0
WFS Servlet,de.turnertech.ows.gml,LineString,51,0,0,0,18,0,7,0,7,0
WFS Servlet,de.turnertech.ows.gml,Envelope,344,16,44,0,66,5,35,2,13,2
WFS Servlet,de.turnertech.ows.common,OwsRequestContext,36,0,0,0,14,0,8,0,8,0
WFS Servlet,de.turnertech.ows.common,ExceptionCode,81,0,4,0,15,0,6,0,4,0
WFS Servlet,de.turnertech.ows.common,DefaultModelEncoderProvider,22,13,4,0,4,2,4,2,2,2
WFS Servlet,de.turnertech.ows.common,UnitConverter,207,0,8,0,22,0,7,0,3,0
WFS Servlet,de.turnertech.ows.common,Unit,76,0,0,0,14,0,4,0,4,0
WFS Servlet,de.turnertech.ows.common,OwsContextFactory,37,115,5,5,5,29,5,5,0,5
WFS Servlet,de.turnertech.ows.common,DefaultOwsContext,28,46,3,1,6,18,4,11,2,11
WFS Servlet,de.turnertech.ows.common,WfsCapabilities,81,132,6,0,28,23,20,1,17,1
WFS Servlet,de.turnertech.ows.common,Gml32ModelEncoder,131,0,10,0,28,0,7,0,2,0
WFS Servlet,de.turnertech.ows.common,DefaultOwsContextFactory,0,11,0,0,0,3,0,3,0,3
WFS Servlet,de.turnertech.ows.common,DefaultModelProvider,13,8,0,0,2,3,2,1,2,1
WFS Servlet,de.turnertech.ows.servlet,OwsServiceDispatcher,57,0,6,0,13,0,5,0,2,0
WFS Servlet,de.turnertech.ows.servlet,WfsGetFeatureRequest,350,0,44,0,69,0,25,0,3,0
WFS Servlet,de.turnertech.ows.servlet,WfsServlet,78,0,4,0,18,0,6,0,4,0
WFS Servlet,de.turnertech.ows.servlet,WfsDescribeFeatureTypeRequest,243,0,12,0,53,0,8,0,2,0
WFS Servlet,de.turnertech.ows.servlet,WfsGetCapabilitiesRequest,724,0,36,0,176,0,20,0,2,0
WFS Servlet,de.turnertech.ows.servlet,WfsTransactionRequest,428,0,58,0,103,0,31,0,2,0
WFS Servlet,de.turnertech.ows.servlet,WfsRequestDispatcher,286,0,38,0,59,0,21,0,2,0
WFS Servlet,de.turnertech.ows.servlet,ErrorServlet,149,0,12,0,37,0,11,0,5,0
